Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/productpage,6434,0,60,59.658632519965636,15.815778053365648,151.93570201518014,4848.281317998135,72.16806280613206,0.0,60,69,74,78,90,100,120,120,140,150,150
,Aggregated,6434,0,60,59.658632519965636,15.815778053365648,151.93570201518014,4848.281317998135,72.16806280613206,0.0,60,69,74,78,90,100,120,120,140,150,150
