Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/productpage,6437,0,59,59.61425327419562,18.201248021796346,158.42815302312374,4848.2819636476615,72.21895047081098,0.0,59,68,74,78,90,100,120,120,140,160,160
,Aggregated,6437,0,59,59.61425327419562,18.201248021796346,158.42815302312374,4848.2819636476615,72.21895047081098,0.0,59,68,74,78,90,100,120,120,140,160,160
