Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652389172,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652389173,1,,Aggregated,0.000000,0.000000,23,24,26,40,81,82,210,210,210,210,210,27,0,23,36.848180778583306,19.010176009032875,214.5853120018728,4848.333333333333
1652389174,1,,Aggregated,0.000000,0.000000,23,24,25,26,61,71,82,210,210,210,210,63,0,23,31.532021335488746,19.010176009032875,214.5853120018728,4848.333333333333
1652389175,1,,Aggregated,0.000000,0.000000,23,24,25,25,61,67,81,82,210,210,210,101,0,23,29.416176882955146,18.72158600599505,214.5853120018728,4845.059405940594
1652389176,1,,Aggregated,31.000000,0.000000,23,24,24,25,40,64,81,82,210,210,210,143,0,23,27.80436809843087,18.355523992795497,214.5853120018728,4846.020979020979
1652389177,1,,Aggregated,33.666667,0.000000,23,24,24,25,27,64,74,82,210,210,210,184,0,23,27.07801628781928,18.355523992795497,214.5853120018728,4844.717391304348
1652389178,1,,Aggregated,33.666667,0.000000,23,24,24,24,26,64,71,81,210,210,210,223,0,23,26.60124171253778,18.355523992795497,214.5853120018728,4845.349775784754
1652389179,1,,Aggregated,36.600000,0.000000,23,23,24,24,26,63,71,81,210,210,210,265,0,23,26.268004614943287,18.355523992795497,214.5853120018728,4845.822641509434
1652389180,1,,Aggregated,37.166667,0.000000,23,23,24,24,26,64,69,74,210,210,210,303,0,23,26.31024440234487,18.325693992665038,214.5853120018728,4845.046204620462
1652389181,1,,Aggregated,37.714286,0.000000,23,23,24,24,26,63,69,74,210,210,210,345,0,23,25.968083356459882,18.325693992665038,214.5853120018728,4848.333333333333
1652389182,2,,Aggregated,37.750000,0.000000,23,23,24,24,26,63,68,74,210,210,210,386,0,23,25.77792463992744,18.325693992665038,214.5853120018728,4847.4766839378235
1652389183,2,,Aggregated,38.222222,0.000000,23,24,25,26,31,63,71,73,210,210,210,448,0,23,26.569114388556564,18.325693992665038,214.5853120018728,4846.848214285715
1652389184,2,,Aggregated,38.500000,0.000000,23,24,26,29,32,65,71,74,210,210,210,510,0,23,27.355342892320444,18.325693992665038,214.5853120018728,4846.380392156862
1652389185,2,,Aggregated,42.100000,0.000000,24,25,28,30,33,66,71,74,210,210,210,573,0,24,27.854938628357214,18.325693992665038,214.5853120018728,4846.595113438046
1652389186,2,,Aggregated,44.600000,0.000000,24,27,29,30,34,66,71,74,210,210,210,635,0,24,28.260043217419227,18.325693992665038,214.5853120018728,4847.8125984251965
1652389187,2,,Aggregated,46.900000,0.000000,24,28,30,30,34,66,71,74,210,210,210,698,0,24,28.528291586053324,18.325693992665038,214.5853120018728,4847.859598853868
1652389188,2,,Aggregated,49.100000,0.000000,25,28,30,31,34,66,72,74,210,210,210,759,0,25,28.83327501729052,18.325693992665038,214.5853120018728,4848.333333333333
1652389189,2,,Aggregated,51.300000,0.000000,25,29,30,31,35,67,72,74,210,210,210,820,0,25,29.152377869645644,18.325693992665038,214.5853120018728,4847.526829268293
1652389190,2,,Aggregated,53.500000,0.000000,26,29,30,31,35,67,72,74,210,210,210,883,0,26,29.366970700991,18.325693992665038,214.5853120018728,4847.584371460929
1652389191,2,,Aggregated,55.400000,0.000000,26,29,30,31,35,67,73,74,210,210,210,945,0,26,29.550761426460223,18.325693992665038,214.5853120018728,4848.333333333333
1652389192,3,,Aggregated,57.700000,0.000000,26,29,30,31,35,67,73,75,82,210,210,1005,0,26,29.691393376097537,18.325693992665038,214.5853120018728,4848.333333333333
1652389193,3,,Aggregated,59.800000,0.000000,27,30,31,32,40,69,74,77,84,210,210,1078,0,27,30.493323853258207,18.325693992665038,214.5853120018728,4847.719851576994
1652389194,3,,Aggregated,61.900000,0.000000,28,30,32,34,44,69,74,78,85,210,210,1153,0,28,31.139554421370768,18.325693992665038,214.5853120018728,4847.759757155247
1652389195,3,,Aggregated,62.900000,0.000000,28,31,33,35,46,70,75,80,85,210,210,1228,0,28,31.695554956684006,18.325693992665038,214.5853120018728,4847.794788273615
1652389196,3,,Aggregated,64.000000,0.000000,28,31,34,35,46,71,76,80,86,210,210,1302,0,28,32.17169095832889,18.325693992665038,214.5853120018728,4847.568356374808
1652389197,3,,Aggregated,65.300000,0.000000,29,32,34,36,47,71,76,81,86,210,210,1376,0,29,32.60462807774338,18.325693992665038,214.5853120018728,4847.366279069767
1652389198,3,,Aggregated,66.400000,0.000000,29,32,35,37,47,71,77,81,86,210,210,1449,0,29,33.02714581778636,18.325693992665038,214.5853120018728,4847.6459627329195
1652389199,3,,Aggregated,67.600000,0.000000,30,33,35,39,48,72,77,81,86,210,210,1523,0,30,33.40830648853306,18.325693992665038,214.5853120018728,4847.459619172685
1652389200,3,,Aggregated,68.800000,0.000000,30,33,36,39,48,72,77,81,86,210,210,1595,0,30,33.77030777805528,18.325693992665038,214.5853120018728,4847.499059561129
1652389201,3,,Aggregated,70.000000,0.000000,30,34,37,39,48,72,78,81,89,210,210,1669,0,30,34.0429746806443,18.325693992665038,214.5853120018728,4847.937088076693
1652389202,4,,Aggregated,71.200000,0.000000,30,34,37,40,48,73,78,82,96,210,210,1744,0,30,34.30222646050116,18.325693992665038,214.5853120018728,4847.954128440367
