Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/productpage,6412,0,60,59.87669088488131,17.35345899942331,154.32733698980883,4848.384903306301,71.91598948297523,0.0,60,69,75,78,90,100,120,120,140,150,150
,Aggregated,6412,0,60,59.87669088488131,17.35345899942331,154.32733698980883,4848.384903306301,71.91598948297523,0.0,60,69,75,78,90,100,120,120,140,150,150
