Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652380400,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652380401,1,,Aggregated,0.000000,0.000000,23,24,24,28,64,66,68,68,68,68,68,34,0,23,29.047904674799238,18.75165698584169,68.03742199554108,4858.176470588235
1652380402,1,,Aggregated,0.000000,0.000000,23,24,24,24,63,66,68,68,68,68,68,73,0,23,27.237820039162003,18.75165698584169,68.25289299013093,4852.86301369863
1652380403,1,,Aggregated,16.000000,0.000000,23,24,24,25,63,66,67,68,68,68,68,106,0,23,28.07827967736334,18.41503698960878,68.25289299013093,4851.452830188679
1652380404,1,,Aggregated,26.500000,0.000000,23,23,24,24,63,66,67,68,68,68,68,143,0,23,27.839221522680948,18.3476009988226,68.25289299013093,4845.993006993007
1652380405,1,,Aggregated,29.666667,0.000000,23,23,24,24,63,66,67,68,68,68,68,179,0,23,27.39629843473882,18.074932013405487,68.25289299013093,4852.050279329609
1652380406,1,,Aggregated,31.000000,0.000000,23,23,24,24,61,66,67,68,81,81,81,218,0,23,27.372526338803496,18.074932013405487,80.59406900429167,4851.385321100917
1652380407,1,,Aggregated,32.000000,0.000000,23,23,24,24,61,64,66,68,81,81,81,255,0,23,27.329652560600902,18.074932013405487,80.59406900429167,4852.239215686274
1652380408,1,,Aggregated,32.833333,0.000000,23,23,24,24,61,64,67,68,81,81,81,291,0,23,27.221980048031497,18.074932013405487,80.59406900429167,4848.333333333333
1652380409,1,,Aggregated,33.714286,0.000000,22,23,24,24,63,64,67,67,81,81,81,328,0,22,27.25894333228253,18.074932013405487,80.59406900429167,4849.3536585365855
1652380410,2,,Aggregated,34.000000,0.000000,22,23,24,24,61,64,66,67,81,81,81,364,0,22,27.249183703423732,16.30267599830404,80.59406900429167,4849.241758241758
1652380411,2,,Aggregated,34.555556,0.000000,23,24,25,28,63,64,67,69,81,81,81,424,0,23,28.045528278867867,16.30267599830404,80.59406900429167,4849.11320754717
1652380412,2,,Aggregated,34.500000,0.000000,23,24,28,30,63,66,70,72,81,81,81,482,0,23,28.915327062689762,16.30267599830404,80.59406900429167,4849.7136929460585
1652380413,2,,Aggregated,37.700000,0.000000,23,27,29,31,63,66,70,72,81,81,81,543,0,23,29.340560090653923,16.30267599830404,80.59406900429167,4848.333333333333
1652380414,2,,Aggregated,39.700000,0.000000,24,28,31,32,63,66,70,72,81,81,81,602,0,24,29.817221005349744,16.30267599830404,80.59406900429167,4849.43853820598
1652380415,2,,Aggregated,42.200000,0.000000,24,28,31,32,63,67,70,72,81,81,81,661,0,24,30.160883086641586,16.30267599830404,80.59406900429167,4848.833585476551
1652380416,2,,Aggregated,44.500000,0.000000,24,29,31,32,63,68,71,77,81,81,81,719,0,24,30.46883850516939,16.30267599830404,81.4203420013655,4849.258692628651
1652380417,2,,Aggregated,46.900000,0.000000,25,29,31,32,64,68,72,77,81,81,81,775,0,25,30.842516544845797,16.30267599830404,81.4203420013655,4848.76
1652380418,2,,Aggregated,49.100000,0.000000,26,29,31,32,64,68,73,76,81,81,81,834,0,26,31.08208962127525,16.30267599830404,81.4203420013655,4848.333333333333
