Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652983882,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652983883,1,,Aggregated,0.000000,0.000000,24,24,24,25,27,67,67,67,67,67,67,39,0,24,25.520249449003202,19.05579899903387,67.2897620825097,4848.2307692307695
1652983884,1,,Aggregated,0.000000,0.000000,24,24,24,25,26,27,67,67,67,67,67,81,0,24,24.59653926421141,18.98568100295961,67.2897620825097,4848.333333333333
1652983885,1,,Aggregated,21.000000,0.000000,23,24,24,24,26,63,67,67,67,67,67,117,0,23,25.36860270361997,18.98568100295961,67.46930303052068,4848.333333333333
1652983886,1,,Aggregated,30.500000,0.000000,23,24,24,24,26,63,67,67,70,70,70,158,0,23,25.159719285902955,18.98568100295961,70.25013701058924,4846.215189873417
1652983887,1,,Aggregated,32.333333,0.000000,23,24,24,24,26,63,67,69,70,70,70,197,0,23,25.28896967072021,18.511275993660092,70.25013701058924,4846.634517766497
1652983888,1,,Aggregated,34.500000,0.000000,23,24,24,24,26,63,67,67,70,70,70,235,0,23,25.38368398363286,18.511275993660092,70.25013701058924,4845.502127659574
1652983889,1,,Aggregated,35.600000,0.000000,23,24,24,24,26,63,67,67,70,70,70,275,0,23,25.310697628777813,18.511275993660092,70.25013701058924,4850.7527272727275
1652983890,1,,Aggregated,36.166667,0.000000,23,24,24,24,26,63,67,67,70,70,70,315,0,23,25.298523929871855,18.511275993660092,70.25013701058924,4848.320634920635
1652983891,1,,Aggregated,36.428571,0.000000,24,24,24,24,26,63,67,67,70,70,70,354,0,24,25.326346273476123,18.410868011415005,70.25013701058924,4848.322033898305
1652983892,2,,Aggregated,36.875000,0.000000,24,24,24,24,26,63,67,67,70,70,70,391,0,24,25.45946739111429,18.410868011415005,70.25013701058924,4849.179028132992
1652983893,2,,Aggregated,37.000000,0.000000,24,24,25,26,31,63,67,70,79,79,79,452,0,24,26.348371949846303,18.410868011415005,78.64363503176719,4847.592920353983
1652983894,2,,Aggregated,37.300000,0.000000,24,25,27,29,34,63,68,72,79,79,79,513,0,24,27.150744103443525,18.410868011415005,78.64363503176719,4848.325536062378
