Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652294900,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652294901,1,,Aggregated,0.000000,0.000000,22,23,25,27,61,62,63,63,63,63,63,35,0,22,28.31913811470648,18.911103004938923,63.00066600670107,4867.342857142857
1652294902,1,,Aggregated,0.000000,0.000000,22,23,23,25,62,63,65,66,66,66,66,69,0,22,28.773056637399588,18.83054598874878,66.42143000499345,4862.826086956522
1652294903,1,,Aggregated,10.000000,0.000000,22,23,23,24,62,63,65,66,66,66,66,106,0,22,28.110907122301693,18.035901011899114,66.42143000499345,4860.88679245283
1652294904,1,,Aggregated,22.000000,0.000000,22,23,23,24,62,64,66,66,66,66,66,145,0,22,27.485249682474112,18.035901011899114,66.42143000499345,4850.641379310345
1652294905,1,,Aggregated,27.000000,0.000000,22,23,23,24,62,64,66,66,67,67,67,179,0,22,27.76920279855749,18.035901011899114,66.64902600459754,4852.050279329609
1652294906,1,,Aggregated,29.500000,0.000000,22,23,23,24,62,64,66,66,67,67,67,215,0,22,27.72086674853791,18.035901011899114,66.64902600459754,4851.427906976744
1652294907,1,,Aggregated,30.800000,0.000000,22,23,23,24,62,64,66,66,67,67,67,252,0,22,27.637134698226063,18.035901011899114,66.64902600459754,4852.3015873015875
1652294908,1,,Aggregated,31.500000,0.000000,22,23,23,24,63,64,66,66,67,67,67,288,0,22,27.623700944332086,18.035901011899114,66.64902600459754,4848.333333333333
1652294909,1,,Aggregated,32.285714,0.000000,22,23,23,24,62,64,66,66,67,67,67,326,0,22,27.466245502902357,17.83476299897302,67.3196809948422,4850.374233128834
1652294910,2,,Aggregated,32.875000,0.000000,22,23,23,24,63,64,66,67,68,68,68,362,0,22,27.494455264972583,17.83476299897302,68.17825599864591,4850.182320441989
1652294911,2,,Aggregated,33.333333,0.000000,23,23,25,29,63,66,68,71,92,92,92,417,0,23,28.646391311307813,17.83476299897302,91.66426700539887,4850.731414868105
1652294912,2,,Aggregated,33.600000,0.000000,23,24,28,30,63,66,72,77,92,92,92,476,0,23,29.1751018020546,17.83476299897302,91.66426700539887,4849.73949579832
1652294913,2,,Aggregated,36.800000,0.000000,23,26,30,32,63,66,72,77,92,92,92,536,0,23,29.735222719687926,17.83476299897302,91.66426700539887,4849.574626865671
1652294914,2,,Aggregated,39.000000,0.000000,23,27,30,32,63,68,73,78,92,92,92,592,0,23,30.33740300122952,17.83476299897302,91.66426700539887,4848.898648648648
1652294915,2,,Aggregated,41.100000,0.000000,23,28,31,32,63,68,73,77,92,92,92,652,0,23,30.526248445970783,17.83476299897302,91.66426700539887,4850.374233128834
1652294916,2,,Aggregated,43.500000,0.000000,24,29,31,32,63,69,73,77,92,92,92,711,0,24,30.743588304877218,17.83476299897302,91.66426700539887,4848.333333333333
1652294917,2,,Aggregated,45.500000,0.000000,25,29,31,32,63,69,73,77,92,92,92,771,0,25,30.978423300572615,17.83476299897302,91.66426700539887,4849.630350194552
1652294918,2,,Aggregated,48.100000,0.000000,26,30,31,33,64,70,73,77,92,92,92,826,0,26,31.35550491003456,17.83476299897302,91.66426700539887,4848.7384987893465
1652294919,2,,Aggregated,50.200000,0.000000,26,30,31,33,64,70,73,77,92,92,92,885,0,26,31.560803295720216,17.83476299897302,91.66426700539887,4848.333333333333
1652294920,3,,Aggregated,52.200000,0.000000,26,30,31,33,64,70,73,77,92,92,92,944,0,26,31.66747164483487,17.83476299897302,91.66426700539887,4849.03813559322
1652294921,3,,Aggregated,53.900000,0.000000,27,30,32,34,65,70,74,78,84,92,92,1018,0,27,32.31390404201859,17.83476299897302,91.66426700539887,4849.64047151277
1652294922,3,,Aggregated,56.700000,0.000000,28,31,33,36,65,71,76,79,84,92,92,1091,0,28,32.835070076867524,17.83476299897302,91.66426700539887,4848.946837763519
1652294923,3,,Aggregated,58.500000,0.000000,29,32,34,38,65,71,77,80,87,92,92,1165,0,29,33.39613800850405,17.83476299897302,91.66426700539887,4848.6206008583695
1652294924,3,,Aggregated,60.600000,0.000000,29,32,36,39,66,72,78,80,87,92,92,1235,0,29,33.91581348982227,17.83476299897302,91.66426700539887,4848.872064777328
1652294925,3,,Aggregated,61.900000,0.000000,30,33,37,40,66,72,78,81,87,92,92,1306,0,30,34.345065910389835,17.83476299897302,91.66426700539887,4849.352220520674
1652294926,3,,Aggregated,63.000000,0.000000,30,33,37,41,66,73,79,81,87,92,92,1379,0,30,34.716653357408255,17.83476299897302,91.66426700539887,4848.815808556926
1652294927,3,,Aggregated,64.500000,0.000000,30,34,38,41,66,73,79,81,87,92,92,1452,0,30,35.01867775606819,17.83476299897302,91.66426700539887,4848.333333333333
1652294928,3,,Aggregated,65.500000,0.000000,30,34,38,41,66,74,79,82,90,92,92,1527,0,30,35.284701976989176,17.83476299897302,91.66426700539887,4848.988212180747
1652294929,3,,Aggregated,67.000000,0.000000,31,35,39,41,67,74,80,82,90,92,92,1600,0,31,35.5519695136627,17.83476299897302,91.66426700539887,4848.5425
1652294930,4,,Aggregated,68.700000,0.000000,31,35,39,42,67,75,80,83,92,92,92,1668,0,31,35.86490836806493,17.83476299897302,92.41291100624949,4848.932853717027
1652294931,4,,Aggregated,70.700000,0.000000,31,36,40,43,67,76,81,85,97,100,100,1748,0,31,36.50712303771186,17.83476299897302,100.84775699942838,4848.144164759726
1652294932,4,,Aggregated,71.400000,0.000000,32,37,41,45,67,76,82,86,100,110,110,1825,0,32,37.172294293118846,17.83476299897302,105.54155500722118,4848.516712328767
1652294933,4,,Aggregated,72.600000,0.000000,32,38,42,47,68,77,83,87,100,110,110,1903,0,32,37.76415403096626,17.83476299897302,105.54155500722118,4848.5091960063055
1652294934,4,,Aggregated,72.800000,0.000000,33,39,43,48,68,78,85,91,100,110,110,1982,0,33,38.27024917002834,17.83476299897302,105.54155500722118,4848.671039354188
1652294935,4,,Aggregated,73.400000,0.000000,33,39,44,49,68,78,85,91,100,110,110,2062,0,33,38.734785886529394,17.83476299897302,105.54155500722118,4848.495635305529
1652294936,4,,Aggregated,73.800000,0.000000,34,40,45,49,69,78,85,91,100,110,110,2142,0,34,39.155747404314255,17.83476299897302,105.54155500722118,4848.800186741363
1652294937,4,,Aggregated,74.600000,0.000000,34,41,46,50,69,79,86,92,100,110,110,2219,0,34,39.57438094003895,17.83476299897302,105.54155500722118,4848.633168093736
1652294938,4,,Aggregated,75.700000,0.000000,35,41,47,51,69,79,87,92,100,110,110,2298,0,35,39.962785736256656,17.83476299897302,111.26586300088093,4848.768494342907
1652294939,4,,Aggregated,76.200000,0.000000,36,42,47,51,69,79,87,93,100,110,110,2377,0,36,40.299830790854244,17.83476299897302,111.26586300088093,4848.474127050905
1652294940,5,,Aggregated,76.600000,0.000000,36,43,48,52,69,80,88,93,100,110,110,2456,0,36,40.650992487734605,17.83476299897302,111.26586300088093,4848.604234527687
1652294941,5,,Aggregated,77.000000,0.000000,37,43,49,53,70,80,90,94,110,120,120,2537,0,37,41.34620395345296,17.83476299897302,119.01992298953701,4848.595585337012
1652294942,5,,Aggregated,77.900000,0.000000,37,45,50,55,71,81,90,96,110,120,120,2616,0,37,41.951275574514575,17.83476299897302,119.01992298953701,4848.715596330275
1652294943,5,,Aggregated,78.700000,0.000000,38,45,52,57,71,81,91,97,110,120,120,2697,0,38,42.60860431366265,17.83476299897302,119.01992298953701,4848.704115684093
1652294944,5,,Aggregated,78.800000,0.000000,39,46,53,58,72,82,92,99,110,120,120,2776,0,38,43.126280333553716,17.83476299897302,119.01992298953701,4848.453890489914
