date,container_name,rx_bytes.mean_value
5/12/2022 7:49:32.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,58421
5/12/2022 7:49:33.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,58357
5/12/2022 7:49:34.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,0
5/12/2022 7:49:36.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,112.25
5/12/2022 7:49:37.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,193.66666666666666
5/12/2022 7:49:38.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,0
5/12/2022 7:49:38.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,0
5/12/2022 7:49:41.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,56730.666666666664
5/12/2022 7:49:41.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,19787
5/12/2022 7:49:42.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,105
5/12/2022 7:49:42.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,0
5/12/2022 7:49:44.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,86087.5
5/12/2022 7:49:44.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,0
5/12/2022 7:49:46.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,0
5/12/2022 7:49:46.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,29505
5/12/2022 7:49:47.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,0
5/12/2022 7:49:47.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,58491
5/12/2022 7:49:48.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,58691
5/12/2022 7:49:50.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,149.66666666666666
5/12/2022 7:49:50.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,277
5/12/2022 7:49:51.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,0
5/12/2022 7:49:51.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,0
5/12/2022 7:49:52.000000000 PM,k8s_POD_prometheus2-7ff45c9d8c-n8tp8_prometheus-federated_b6682359-0bfd-46ed-8cef-c0f651d480c9_0,66
5/12/2022 7:49:53.000000000 PM,k8s_POD_prometheus1-67d94b649f-dkk7h_prometheus-federated_e078d7b2-dea8-4ca1-9cf6-6e809690fc78_0,0
